data_id,data_name,qualified_data_name
1,SYNMAP_land_cover_map_data,[SYNMAP_land_cover_map_data]
2,mean_airtemp,[mean_airtemp]
3,mean_precip,[mean_precip]
4,C3_fraction_data,[C3_fraction_data]
5,C4_fraction_data,[C4_fraction_data]
6,Grass_fraction_data,[Grass_fraction_data]
7,SYNMAP_land_cover_map_data,C3_C4_map_present_NA[SYNMAP_land_cover_map_data]
8,lon_variable,C3_C4_map_present_NA[lon_variable]
9,lat_variable,C3_C4_map_present_NA[lat_variable]
10,lon_bnds_variable,C3_C4_map_present_NA[lon_bnds_variable]
11,lat_bnds_variable,C3_C4_map_present_NA[lat_bnds_variable]
12,mean_airtemp,C3_C4_map_present_NA[mean_airtemp]
13,Tair_Matrix,C3_C4_map_present_NA[Tair_Matrix]
14,mean_precip,C3_C4_map_present_NA[mean_precip]
15,Rain_Matrix,C3_C4_map_present_NA[Rain_Matrix]
16,Grass_variable,C3_C4_map_present_NA[Grass_variable]
17,C3_Data,C3_C4_map_present_NA[C3_Data]
18,C4_Data,C3_C4_map_present_NA[C4_Data]
19,C3_fraction_data,C3_C4_map_present_NA[C3_fraction_data]
20,C4_fraction_data,C3_C4_map_present_NA[C4_fraction_data]
21,Grass_fraction_data,C3_C4_map_present_NA[Grass_fraction_data]
