port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,in,SYNMAP_land_cover_map_data,C3_C4_map_present_NA<-SYNMAP_land_cover_map_data,2,1
2,in,mean_airtemp,C3_C4_map_present_NA<-mean_airtemp,4,2
3,in,mean_precip,C3_C4_map_present_NA<-mean_precip,6,3
4,out,C3_fraction_data,C3_C4_map_present_NA->C3_fraction_data,8,4
5,out,C4_fraction_data,C3_C4_map_present_NA->C4_fraction_data,10,5
6,out,Grass_fraction_data,C3_C4_map_present_NA->Grass_fraction_data,12,6
7,in,SYNMAP_land_cover_map_data,C3_C4_map_present_NA.fetch_SYNMAP_land_cover_map_variable<-SYNMAP_land_cover_map_data,15,7
8,out,lon,C3_C4_map_present_NA.fetch_SYNMAP_land_cover_map_variable->lon,17,8
9,out,lat,C3_C4_map_present_NA.fetch_SYNMAP_land_cover_map_variable->lat,19,9
10,out,lon_bnds,C3_C4_map_present_NA.fetch_SYNMAP_land_cover_map_variable->lon_bnds,21,10
11,out,lat_bnds,C3_C4_map_present_NA.fetch_SYNMAP_land_cover_map_variable->lat_bnds,23,11
12,in,mean_airtemp,C3_C4_map_present_NA.fetch_monthly_mean_air_temperature_data<-mean_airtemp,27,12
13,out,Tair,C3_C4_map_present_NA.fetch_monthly_mean_air_temperature_data->Tair,29,13
14,in,mean_precip,C3_C4_map_present_NA.fetch_monthly_mean_precipitation_data<-mean_precip,33,14
15,out,Rain,C3_C4_map_present_NA.fetch_monthly_mean_precipitation_data->Rain,35,15
16,out,Grass,C3_C4_map_present_NA.initialize_Grass_Matrix->Grass,39,16
17,in,Tair,C3_C4_map_present_NA.examine_pixels_for_grass<-Tair,43,13
18,in,Rain,C3_C4_map_present_NA.examine_pixels_for_grass<-Rain,45,15
19,out,C3,C3_C4_map_present_NA.examine_pixels_for_grass->C3,47,17
20,out,C4,C3_C4_map_present_NA.examine_pixels_for_grass->C4,49,18
21,in,lon_variable,C3_C4_map_present_NA.generate_netcdf_file_for_C3_fraction<-lon_variable,53,8
22,in,lat_variable,C3_C4_map_present_NA.generate_netcdf_file_for_C3_fraction<-lat_variable,54,9
23,in,lon_bnds_variable,C3_C4_map_present_NA.generate_netcdf_file_for_C3_fraction<-lon_bnds_variable,55,10
24,in,lat_bnds_variable,C3_C4_map_present_NA.generate_netcdf_file_for_C3_fraction<-lat_bnds_variable,56,11
25,in,C3_Data,C3_C4_map_present_NA.generate_netcdf_file_for_C3_fraction<-C3_Data,57,17
26,out,C3_fraction_data,C3_C4_map_present_NA.generate_netcdf_file_for_C3_fraction->C3_fraction_data,58,19
27,in,lon_variable,C3_C4_map_present_NA.generate_netcdf_file_for_C4_fraction<-lon_variable,62,8
28,in,lat_variable,C3_C4_map_present_NA.generate_netcdf_file_for_C4_fraction<-lat_variable,63,9
29,in,lon_bnds_variable,C3_C4_map_present_NA.generate_netcdf_file_for_C4_fraction<-lon_bnds_variable,64,10
30,in,lat_bnds_variable,C3_C4_map_present_NA.generate_netcdf_file_for_C4_fraction<-lat_bnds_variable,65,11
31,in,C4_Data,C3_C4_map_present_NA.generate_netcdf_file_for_C4_fraction<-C4_Data,66,18
32,out,C4_fraction_data,C3_C4_map_present_NA.generate_netcdf_file_for_C4_fraction->C4_fraction_data,67,20
33,in,lon_variable,C3_C4_map_present_NA.generate_netcdf_file_for_Grass_fraction<-lon_variable,71,8
34,in,lat_variable,C3_C4_map_present_NA.generate_netcdf_file_for_Grass_fraction<-lat_variable,72,9
35,in,lon_bnds_variable,C3_C4_map_present_NA.generate_netcdf_file_for_Grass_fraction<-lon_bnds_variable,73,10
36,in,lat_bnds_variable,C3_C4_map_present_NA.generate_netcdf_file_for_Grass_fraction<-lat_bnds_variable,74,11
37,in,Grass_variable,C3_C4_map_present_NA.generate_netcdf_file_for_Grass_fraction<-Grass_variable,75,16
38,out,Grass_fraction_data,C3_C4_map_present_NA.generate_netcdf_file_for_Grass_fraction->Grass_fraction_data,76,21
